date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:13:12	102008/102008	---M--	200	added ('OK')	text/html	etag:%2218e78-572cd3e7dfc2f%22	https://controller.access.network/101/portal/	C:/Users/William/Desktop/Projet%20Alpha/Projet%20Alpha/controller.access.network/101/portal/index.html	(from )
14:13:13	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2024%20Jun%202019%2012:13:11%20GMT	https://controller.access.network/robots.txt		(from )
14:13:13	85924/85924	---M--	200	added ('OK')	application/javascript	etag:%2214fa4-572cd3e2aabdc%22	https://controller.access.network/101/portal/resources/_javascript/jquery-1.5.2.min.js?1530113452	C:/Users/William/Desktop/Projet%20Alpha/Projet%20Alpha/controller.access.network/101/portal/resources/_javascript/jquery-1.5.2.minfef7.js	(from https://controller.access.network/101/portal/)
14:13:13	17171/17171	---M--	200	added ('OK')	application/javascript	etag:%224313-572cd3e29f05b%22	https://controller.access.network/101/portal/resources/_javascript/jquery.sprintf.js?1530113452	C:/Users/William/Desktop/Projet%20Alpha/Projet%20Alpha/controller.access.network/101/portal/resources/_javascript/jquery.sprintffef7.js	(from https://controller.access.network/101/portal/)
14:13:13	37167/37167	---M--	200	added ('OK')	application/javascript	etag:%22912f-572cd3e2a6d5b%22	https://controller.access.network/101/portal/resources/_javascript/calendar/calendar.js?1530113452	C:/Users/William/Desktop/Projet%20Alpha/Projet%20Alpha/controller.access.network/101/portal/resources/_javascript/calendar/calendarfef7.js	(from https://controller.access.network/101/portal/)
14:13:14	381211/381211	---M--	200	added ('OK')	application/javascript	etag:%225d11b-572cd3e7e3aaf%22	https://controller.access.network/101/portal/portal.js?1530113452	C:/Users/William/Desktop/Projet%20Alpha/Projet%20Alpha/controller.access.network/101/portal/portalfef7.js	(from https://controller.access.network/101/portal/)
14:13:14	12235/12235	---M--	200	added ('OK')	text/css	etag:%222fcb-572cd3e7e3aaf%22	https://controller.access.network/101/portal/portal.css?1530113452	C:/Users/William/Desktop/Projet%20Alpha/Projet%20Alpha/controller.access.network/101/portal/portalfef7.css	(from https://controller.access.network/101/portal/)
14:13:14	3932/3932	---M--	200	added ('OK')	text/css	etag:%22f5c-526b41fb6f539%22	https://controller.access.network/101/portal/resources/_css/calendar-mos.css?1530113452	C:/Users/William/Desktop/Projet%20Alpha/Projet%20Alpha/controller.access.network/101/portal/resources/_css/calendar-mosfef7.css	(from https://controller.access.network/101/portal/)
14:13:15	5334/5334	---M--	200	added ('OK')	application/javascript	etag:%2214d6-56c57fff8c000%22	https://controller.access.network/javascript/jquery.portal_api.js?1530113452	C:/Users/William/Desktop/Projet%20Alpha/Projet%20Alpha/controller.access.network/javascript/jquery.portal_apifef7.js	(from https://controller.access.network/101/portal/)
14:13:15	545/545	---M--	200	added ('OK')	image/png	etag:%22221-572cd3e2ffb3f%22	https://controller.access.network/101/portal/resources/_images/flags/fr.png	C:/Users/William/Desktop/Projet%20Alpha/Projet%20Alpha/controller.access.network/101/portal/resources/_images/flags/fr.png	(from https://controller.access.network/101/portal/)
